"","subj"
"268",7
"269",7
"270",7
"271",7
"272",7
"273",7
"274",7
"275",7
"276",7
"277",7
"278",7
"279",7
"280",7
"281",7
"282",7
"283",7
"284",7
"285",7
"286",7
"287",7
"288",7
"289",7
"290",7
"291",7
"292",7
"293",7
"294",7
"295",7
"296",7
"297",7
"298",7
"299",7
"300",7
"301",7
"302",7
"303",7
"304",7
"305",7
"306",7
"307",7
"308",7
"309",7
"310",7
"311",7
"312",7
"313",7
"314",7
"315",7
"316",7
"317",7
"318",7
"319",7
"320",7
"321",7
"322",7
"323",7
"324",7
"325",7
"326",7
"327",7
"328",7
"329",7
"330",7
"331",7
"332",7
"333",7
"334",7
"335",7
"336",7
"337",7
"338",7
"339",7
"340",7
"341",7
"342",7
"343",7
"344",7
"345",7
"346",7
"347",7
"348",7
"349",7
"350",7
"351",7
"352",7
"353",7
"354",7
"355",7
"356",7
"357",7
"358",7
"359",7
"360",7
"361",7
"362",7
"363",7
"364",7
"365",7
"366",7
"367",7
"368",7
"369",7
"370",7
"371",7
"372",7
"373",7
"374",7
"375",7
"376",7
"377",7
"378",7
"379",7
"380",7
"381",7
"382",7
"383",7
"384",7
"385",7
"386",7
"387",7
"388",7
"389",7
"390",7
"391",7
"392",7
"393",7
"394",7
"395",7
"396",7
"397",7
"398",7
"399",7
"400",7
"401",7
"402",7
"403",7
"404",7
"405",7
"406",7
"407",7
"408",7
"409",7
"410",7
"411",7
"412",7
"413",7
"414",7
"415",7
"416",7
"417",7
"418",7
"419",7
"420",7
"421",7
"422",7
"423",7
"424",7
"425",7
"426",7
"427",7
"428",7
"429",7
"430",7
"431",7
"432",7
"433",7
"434",7
"435",7
"436",7
"437",7
"438",7
"439",7
"440",7
"441",7
"442",7
"443",7
"444",7
"445",7
"446",7
"447",7
"448",7
"449",7
"450",7
"451",7
"452",7
"453",7
"454",7
"455",7
"456",7
"457",7
"458",7
"459",7
"460",7
"461",7
"462",7
"463",7
"464",7
"465",7
"466",7
"467",7
"468",7
"469",7
"470",7
"471",7
"472",7
"473",7
"474",7
"475",7
"476",7
"477",7
"478",7
"479",7
"480",7
"481",7
"482",7
"483",7
"484",7
"485",7
"486",7
"487",7
"488",7
"489",7
"490",7
"491",7
"492",7
"493",7
"494",7
"495",7
"496",7
"497",7
"498",7
"499",7
"500",7
"501",44
"502",44
"503",44
"504",44
"505",44
"506",44
"507",44
"508",44
"509",44
"510",44
"511",44
"512",44
"513",44
"514",44
"515",44
"516",44
"517",44
"518",44
"519",44
"520",44
"521",44
"522",44
"523",44
"524",44
"525",44
"526",44
"527",44
"528",44
"529",44
"530",44
"531",44
"532",44
"533",44
"534",44
"535",44
"536",44
"537",44
"538",44
"539",44
"540",44
"541",44
"542",44
"543",44
"544",44
"545",44
"546",44
"547",44
"548",44
"549",44
"550",44
"551",44
"552",44
"553",44
"554",44
"555",44
"556",44
"557",44
"558",44
"559",44
"560",44
"561",44
"562",44
"563",44
"564",44
"565",44
"566",44
"567",44
"568",44
"569",44
"570",44
"571",44
"572",44
"573",44
"574",44
"575",44
"576",44
"577",44
"578",44
"579",44
"580",44
"581",44
"582",44
"583",44
"584",44
"585",44
"586",44
"587",44
"588",44
"589",44
"590",44
"591",44
"592",44
"593",44
"594",44
"595",44
"596",44
"597",44
"598",44
"599",44
"600",44
"601",44
"602",44
"603",44
"604",44
"605",44
"606",44
"607",44
"608",44
"609",44
"610",44
"611",44
"612",44
"613",44
"614",44
"615",44
"616",44
"617",44
"618",44
"619",44
"620",44
"621",44
"622",44
"623",44
"624",44
"625",44
"626",44
"627",44
"628",44
"629",44
"630",44
"631",44
"632",44
"633",44
"634",44
"635",44
"636",44
"637",44
"638",44
"639",44
"640",44
"641",44
"642",44
"643",44
"644",44
"645",44
"646",44
"647",44
"648",44
"649",44
"650",44
"651",44
"652",44
"653",44
"654",44
"655",44
"656",44
"657",44
"658",44
"659",44
"660",44
"661",44
"662",44
"663",44
"664",44
"665",44
"666",44
"667",44
"668",44
"669",44
"670",44
"671",44
"672",44
"673",44
"674",44
"675",44
"676",44
"677",44
"678",44
"679",44
"680",44
"681",44
"682",44
"683",44
"684",44
"685",44
"686",44
"687",44
"688",44
"689",44
"690",44
"691",44
"692",44
"693",44
"694",44
"695",44
"696",44
"697",44
"698",44
"699",44
"700",44
"701",44
"702",44
"703",44
"704",44
"705",44
"706",44
"707",44
"708",44
"709",44
"710",44
"711",44
"712",44
"713",44
"714",44
"715",44
"716",44
"717",44
"718",44
"719",44
"720",44
"721",44
"722",44
"723",44
"724",44
"725",44
"726",44
"727",44
"728",44
"729",44
"730",44
"731",44
"732",44
"733",44
"734",44
"735",44
"736",44
"737",44
"738",44
"739",44
"740",44
"741",44
"742",44
"743",44
"744",44
"745",44
"746",44
"747",44
"748",44
"749",44
"750",44
"751",44
"752",44
"753",44
"754",44
"755",44
"756",44
"757",44
"758",44
"759",44
"760",44
"761",44
"762",44
"763",44
"764",44
"765",44
"766",44
"767",44
"768",44
"769",44
"770",44
"771",44
"772",44
"773",44
"774",44
"775",44
"776",44
"777",44
"778",44
"779",44
"780",44
"781",44
"782",44
"783",44
"784",44
"785",44
"786",44
"787",44
"788",44
"789",44
"790",44
"791",44
"792",44
"793",44
"794",44
"795",44
"796",44
"797",44
"798",44
"799",44
"800",44
"801",44
"802",44
"803",44
"804",44
"805",44
"806",44
"807",44
"808",44
"809",44
"810",44
"811",44
"812",44
"813",44
"814",44
"815",44
"816",44
"817",44
"818",44
"819",44
"820",44
"821",44
"822",44
"823",44
"824",44
"825",44
"826",44
"827",44
"828",44
"829",44
"830",44
"831",44
"832",44
"833",44
"834",44
"835",44
"836",44
"837",44
"838",44
"839",44
"840",44
"841",44
"842",44
"843",44
"844",44
"845",44
"846",44
"847",44
"848",44
"849",44
"850",44
"851",44
"852",44
"853",44
"854",44
"855",44
"856",44
"857",44
"858",44
"859",44
"860",44
"861",44
"862",44
"863",44
"864",44
"865",44
"866",44
"867",44
"868",44
"869",44
"870",44
"871",44
"872",44
"873",44
"874",44
"875",44
"876",44
"877",44
"878",44
"879",44
"880",44
"881",44
"882",44
"883",44
"884",44
"885",44
"886",44
"887",44
"888",44
"889",44
"890",44
"891",44
"892",44
"893",44
"894",44
"895",44
"896",44
"897",44
"898",44
"899",44
"900",44
"901",44
"902",44
"903",44
"904",44
"905",44
"906",44
"907",44
"908",44
"909",44
"910",44
"911",44
"912",44
"913",44
"914",44
"915",44
"916",44
"917",44
"918",44
"919",44
"920",44
"921",44
"922",44
"923",44
"924",44
"925",44
"926",44
"927",44
"928",44
"929",44
"930",44
"931",44
"932",44
"933",44
"934",44
"935",44
"936",44
"937",44
"938",44
"939",44
"940",44
"941",44
"942",44
"943",44
"944",44
"945",44
"946",44
"947",44
"948",44
"949",44
"950",44
"951",44
"952",44
"953",44
"954",44
"955",44
"956",44
"957",44
"958",44
"959",44
"960",44
"961",44
"962",44
"963",44
"964",44
"965",44
"966",44
"967",44
"968",44
"969",44
"970",44
"971",44
"972",44
"973",44
"974",44
"975",44
"976",44
"977",44
"978",44
"979",44
"980",44
"981",44
"982",44
"983",44
"984",44
"985",44
"986",44
"987",44
"988",44
"989",44
"990",44
"991",44
"992",44
"993",44
"994",44
"995",44
"996",44
"997",44
"998",44
"999",44
"1000",44
