"","acc"
"482",0
"483",0
"484",1
"485",1
"486",1
"487",0
"488",1
"489",1
"490",0
"491",0
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",1
"501",1
"502",0
"503",1
"504",1
"505",1
"506",1
"507",0
"508",1
"509",1
"510",1
"511",0
"512",1
"513",0
"514",1
"515",1
"516",1
"517",1
"518",1
"519",0
"520",1
"521",1
"522",0
"523",0
"524",1
"525",1
"526",1
"527",1
"528",1
"529",1
"530",1
"531",1
"532",1
"533",0
"534",1
"535",0
"536",0
"537",1
"538",0
"539",1
"540",0
"541",0
"542",0
"543",1
"544",1
"545",1
"546",1
"547",0
"548",0
"549",1
"550",1
"551",1
"552",0
"553",1
"554",0
"555",1
"556",0
"557",1
"558",1
"559",1
"560",0
"561",1
"562",1
"563",1
"564",1
"565",0
"566",0
"567",1
"568",0
"569",0
"570",1
"571",1
"572",0
"573",0
"574",0
"575",1
"576",1
"577",1
"578",1
"579",1
"580",1
"581",1
"582",0
"583",1
"584",1
"585",0
"586",0
"587",1
"588",0
"589",0
"590",0
"591",1
"592",1
"593",0
"594",1
"595",0
"596",0
"597",0
"598",0
"599",1
"600",1
"601",1
"602",1
"603",1
"604",0
"605",1
"606",1
"607",1
"608",1
"609",1
"610",1
"611",1
"612",1
"613",1
"614",1
"615",1
"616",1
"617",0
"618",0
"619",0
"620",1
"621",1
"622",1
"623",1
"624",1
"625",1
"626",1
"627",1
"628",1
"629",0
"630",1
"631",0
"632",0
"633",0
"634",1
"635",0
"636",1
"637",1
"638",1
"639",0
"640",0
"641",0
"642",0
"643",1
"644",1
"645",1
"646",1
"647",1
"648",1
"649",1
"650",1
"651",0
"652",1
"653",0
"654",0
"655",1
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",1
"664",0
"665",1
"666",1
"667",1
"668",0
"669",1
"670",0
"671",1
"672",0
"673",0
"674",0
"675",1
"676",0
"677",0
"678",1
"679",1
"680",1
"681",1
"682",0
"683",0
"684",1
"685",0
"686",1
"687",0
"688",1
"689",0
"690",0
"691",0
"692",1
"693",0
"694",1
"695",0
"696",0
"697",1
"698",1
"699",0
"700",0
"701",1
"702",1
"703",0
"704",1
"705",0
"706",0
"707",1
"708",1
"709",1
"710",0
"711",0
"712",0
"713",1
"714",0
"715",0
"716",0
"717",1
"718",1
"719",0
"720",1
"721",0
"722",1
"723",0
"724",0
"725",1
"726",1
"727",1
"728",0
"729",0
"730",0
"731",1
"732",0
"733",0
"734",1
"735",1
"736",1
"737",1
"738",0
"739",0
"740",0
"741",1
"742",0
"743",0
"744",0
"745",0
"746",0
"747",0
"748",1
"749",1
"750",0
"751",0
"752",0
"753",0
"754",1
"755",0
"756",0
"757",0
"758",1
"759",0
"760",0
"761",1
"762",1
"763",1
"764",1
"765",0
"766",1
"767",1
"768",1
"769",1
"770",1
"771",1
"772",1
"773",1
"774",1
"775",1
"776",1
"777",1
"778",0
"779",0
"780",1
"781",0
"782",1
"783",0
"784",1
"785",0
"786",0
"787",1
"788",1
"789",1
"790",1
"791",0
"792",1
"793",0
"794",0
"795",1
"796",0
"797",0
"798",1
"799",0
"800",1
"801",0
"802",1
"803",1
"804",1
"805",1
"806",0
"807",1
"808",1
"809",1
"810",1
"811",0
"812",0
"813",1
"814",1
"815",1
"816",1
"817",1
"818",1
"819",0
"820",1
"821",1
"822",1
"823",1
"824",1
"825",1
"826",1
"827",0
"828",0
"829",1
"830",0
"831",1
"832",1
"833",1
"834",0
"835",1
"836",1
"837",1
"838",1
"839",0
"840",1
"841",0
"842",1
"843",1
"844",0
"845",0
"846",0
"847",1
"848",0
"849",0
"850",0
"851",1
"852",0
"853",1
"854",0
"855",1
"856",1
"857",1
"858",1
"859",1
"860",0
"861",1
"862",1
"863",1
"864",1
"865",0
"866",1
"867",0
"868",1
"869",0
"870",0
"871",0
"872",1
"873",0
"874",1
"875",0
"876",1
"877",1
"878",1
"879",1
"880",1
"881",0
"882",1
"883",1
"884",1
"885",0
"886",1
"887",1
"888",1
"889",1
"890",1
"891",1
"892",1
"893",0
"894",1
"895",1
"896",1
"897",0
"898",0
"899",0
"900",1
"901",1
"902",1
"903",1
"904",1
"905",1
"906",0
"907",1
"908",0
"909",0
"910",1
"911",0
"912",1
"913",1
"914",1
"915",0
"916",0
"917",1
"918",1
"919",0
"920",0
"921",1
"922",0
"923",0
"924",1
"925",0
"926",1
"927",0
"928",1
"929",1
"930",1
"931",1
"932",1
"933",0
"934",1
"935",1
"936",0
"937",1
"938",1
"939",1
"940",1
"941",0
"942",1
"943",1
"944",0
"945",0
"946",1
"947",1
"948",1
"949",1
"950",1
"951",1
"952",0
"953",0
"954",1
"955",0
"956",0
"957",0
"958",1
"959",1
"960",1
"961",1
"962",1
"963",1
"964",1
"965",1
"966",1
"967",0
"968",1
"969",0
"970",0
"971",1
"972",0
"973",1
"974",1
"975",0
"976",1
"977",1
"978",1
"979",0
"980",0
"981",1
"982",1
"983",0
"984",0
"985",0
"986",0
"987",0
"988",1
"989",0
"990",1
"991",0
"992",1
"993",1
"994",1
"995",1
"996",1
"997",1
"998",1
"999",1
"1000",1
"1001",0
"1002",0
"1003",1
"1004",1
"1005",1
"1006",1
"1007",1
"1008",0
"1009",1
"1010",1
"1011",0
"1012",0
"1013",1
"1014",0
"1015",0
"1016",0
"1017",1
"1018",1
"1019",1
"1020",1
"1021",0
"1022",1
"1023",0
"1024",0
"1025",1
"1026",1
"1027",0
"1028",1
"1029",0
"1030",1
"1031",1
"1032",1
"1033",1
"1034",0
"1035",1
"1036",0
"1037",1
"1038",1
"1039",1
"1040",0
"1041",1
"1042",1
"1043",1
"1044",1
"1045",1
"1046",1
"1047",1
"1048",0
"1049",0
"1050",0
"1051",0
"1052",1
"1053",0
"1054",0
"1055",1
"1056",1
"1057",1
"1058",0
"1059",0
"1060",0
"1061",0
"1062",0
"1063",1
"1064",0
"1065",1
"1066",1
"1067",1
"1068",1
"1069",0
"1070",1
"1071",1
"1072",0
"1073",1
"1074",1
"1075",0
"1076",1
"1077",1
"1078",1
"1079",1
"1080",1
"1081",0
"1082",0
"1083",1
"1084",0
"1085",1
"1086",1
"1087",0
"1088",0
"1089",1
"1090",1
"1091",1
"1092",1
"1093",1
"1094",0
"1095",0
"1096",1
"1097",1
"1098",1
"1099",0
"1100",0
"1101",1
"1102",1
"1103",1
"1104",1
"1105",1
"1106",1
"1107",1
"1108",1
"1109",0
"1110",1
"1111",1
"1112",0
"1113",1
"1114",1
"1115",1
"1116",1
"1117",1
"1118",1
"1119",0
"1120",0
"1121",1
"1122",1
"1123",1
"1124",0
"1125",1
"1126",1
"1127",1
"1128",0
"1129",0
"1130",1
"1131",1
"1132",1
"1133",1
"1134",0
"1135",1
"1136",1
"1137",0
"1138",1
"1139",1
"1140",1
"1141",1
"1142",1
"1143",1
"1144",1
"1145",1
"1146",0
"1147",1
"1148",1
"1149",0
"1150",0
"1151",1
"1152",1
"1153",0
"1154",1
"1155",1
"1156",1
"1157",0
"1158",1
"1159",1
"1160",1
"1161",1
"1162",1
"1163",0
"1164",0
"1165",1
"1166",0
"1167",0
"1168",1
"1169",0
"1170",0
"1171",0
"1172",1
"1173",1
"1174",1
"1175",0
"1176",0
"1177",1
"1178",0
"1179",0
"1180",0
"1181",1
"1182",1
"1183",1
"1184",1
"1185",1
"1186",0
"1187",1
"1188",1
"1189",0
"1190",1
"1191",1
"1192",1
"1193",1
"1194",0
"1195",1
"1196",0
"1197",0
"1198",1
"1199",0
"1200",1
"1201",0
"1202",1
"1203",0
"1204",1
"1205",1
"1206",1
"1207",0
"1208",0
"1209",1
"1210",1
"1211",1
"1212",1
"1213",1
"1214",1
"1215",0
"1216",0
"1217",1
"1218",0
"1219",1
"1220",0
"1221",1
"1222",1
"1223",0
"1224",0
"1225",1
"1226",1
"1227",1
"1228",1
"1229",1
"1230",1
"1231",1
"1232",1
"1233",0
"1234",0
"1235",1
"1236",0
"1237",0
"1238",0
"1239",1
"1240",1
"1241",0
"1242",0
"1243",1
"1244",0
"1245",1
"1246",1
"1247",1
"1248",0
"1249",0
"1250",1
"1251",0
"1252",0
"1253",1
"1254",0
"1255",1
"1256",1
"1257",1
"1258",0
"1259",1
"1260",1
"1261",1
"1262",1
"1263",0
"1264",0
"1265",0
"1266",1
"1267",0
"1268",0
"1269",1
"1270",0
"1271",0
"1272",1
"1273",1
"1274",0
"1275",1
"1276",1
"1277",1
"1278",0
"1279",0
"1280",1
"1281",0
"1282",1
"1283",0
"1284",1
"1285",1
"1286",0
"1287",1
"1288",0
"1289",0
"1290",0
"1291",1
"1292",1
"1293",0
"1294",1
"1295",1
"1296",1
"1297",1
"1298",1
"1299",1
"1300",0
"1301",0
"1302",1
"1303",0
"1304",0
"1305",1
"1306",1
"1307",0
"1308",1
"1309",1
"1310",1
"1311",1
"1312",1
"1313",1
"1314",1
"1315",1
"1316",1
"1317",1
"1318",1
"1319",1
"1320",1
"1321",0
"1322",1
"1323",1
"1324",1
"1325",1
"1326",1
"1327",1
"1328",1
"1329",1
"1330",1
"1331",0
"1332",1
"1333",0
"1334",1
"1335",1
"1336",0
"1337",0
"1338",1
"1339",0
"1340",0
"1341",1
"1342",1
"1343",1
"1344",1
"1345",0
"1346",1
"1347",1
"1348",1
"1349",0
"1350",1
"1351",1
"1352",1
"1353",0
"1354",1
"1355",1
"1356",1
"1357",1
"1358",1
"1359",1
"1360",1
"1361",1
"1362",1
"1363",0
"1364",1
"1365",0
"1366",1
"1367",1
"1368",1
"1369",1
"1370",1
"1371",1
"1372",0
"1373",0
"1374",0
"1375",1
"1376",1
"1377",0
"1378",1
"1379",1
"1380",1
"1381",0
"1382",0
"1383",1
"1384",1
"1385",0
"1386",0
"1387",0
"1388",1
"1389",1
"1390",0
"1391",1
"1392",0
"1393",1
"1394",1
"1395",1
"1396",1
"1397",1
"1398",1
"1399",0
"1400",0
"1401",1
"1402",0
"1403",1
"1404",1
"1405",0
"1406",1
"1407",0
"1408",1
"1409",0
"1410",1
"1411",0
"1412",1
"1413",0
"1414",0
"1415",1
"1416",0
"1417",1
"1418",1
"1419",0
"1420",1
"1421",0
"1422",0
"1423",0
"1424",1
"1425",1
"1426",1
"1427",0
"1428",1
"1429",1
"1430",1
"1431",1
"1432",1
"1433",1
"1434",0
"1435",1
"1436",0
"1437",1
"1438",1
"1439",0
"1440",1
"1441",0
"1442",0
"1443",0
"1444",1
"1445",1
"1446",1
"1447",0
"1448",0
"1449",1
"1450",0
"1451",1
"1452",1
"1453",1
"1454",0
"1455",1
"1456",0
"1457",1
"1458",1
"1459",0
"1460",1
"1461",1
"1462",1
"1463",0
"1464",0
"1465",1
"1466",1
"1467",1
"1468",1
"1469",1
"1470",0
"1471",1
"1472",1
"1473",0
"1474",0
"1475",1
"1476",0
"1477",1
"1478",0
"1479",0
"1480",1
"1481",1
"1482",0
"1483",1
"1484",1
"1485",1
"1486",1
"1487",1
"1488",0
"1489",1
"1490",1
"1491",1
"1492",0
"1493",1
"1494",1
"1495",1
"1496",1
"1497",0
"1498",1
"1499",1
"1500",1
"1501",0
"1502",1
"1503",1
"1504",1
"1505",1
"1506",1
"1507",1
"1508",1
"1509",1
"1510",1
"1511",1
"1512",0
"1513",1
"1514",1
"1515",0
"1516",0
"1517",1
"1518",0
"1519",1
"1520",1
"1521",0
"1522",1
"1523",0
"1524",0
"1525",1
"1526",0
"1527",1
"1528",0
"1529",0
"1530",1
"1531",1
"1532",1
"1533",1
"1534",1
"1535",0
"1536",1
"1537",1
"1538",1
"1539",1
"1540",1
"1541",0
"1542",1
"1543",1
"1544",1
"1545",1
"1546",1
"1547",1
"1548",1
"1549",0
"1550",1
"1551",1
"1552",1
"1553",0
"1554",1
"1555",1
"1556",1
"1557",1
"1558",1
"1559",1
"1560",1
"1561",1
"1562",1
"1563",1
"1564",1
"1565",1
"1566",1
"1567",1
"1568",1
"1569",1
"1570",1
"1571",1
"1572",1
"1573",1
"1574",0
"1575",1
"1576",1
"1577",1
"1578",1
"1579",1
"1580",1
"1581",1
"1582",1
"1583",1
"1584",1
"1585",1
"1586",1
"1587",1
"1588",1
"1589",1
"1590",0
"1591",1
"1592",0
"1593",0
"1594",1
"1595",1
"1596",1
"1597",1
"1598",1
"1599",1
"1600",1
"1601",1
"1602",1
"1603",0
"1604",1
"1605",1
"1606",1
"1607",1
"1608",1
"1609",1
"1610",0
"1611",1
"1612",1
"1613",1
"1614",0
"1615",0
"1616",1
"1617",1
"1618",1
"1619",1
"1620",1
"1621",1
"1622",1
"1623",1
"1624",1
"1625",1
"1626",0
"1627",1
"1628",1
"1629",0
"1630",1
"1631",1
"1632",1
"1633",0
"1634",0
"1635",1
"1636",1
"1637",1
"1638",1
"1639",1
"1640",1
"1641",1
"1642",1
"1643",1
"1644",1
"1645",1
"1646",1
"1647",0
"1648",1
"1649",0
"1650",1
"1651",0
"1652",1
"1653",1
"1654",1
"1655",1
"1656",0
"1657",1
"1658",0
"1659",1
"1660",1
"1661",1
"1662",1
"1663",1
"1664",1
"1665",0
"1666",1
"1667",1
"1668",1
"1669",1
"1670",1
"1671",1
"1672",1
"1673",1
"1674",1
"1675",1
"1676",1
"1677",1
"1678",1
"1679",1
"1680",1
"1681",1
"1682",0
"1683",1
"1684",1
"1685",0
"1686",1
"1687",0
"1688",0
"1689",1
"1690",1
"1691",1
"1692",0
"1693",1
"1694",1
"1695",1
"1696",0
"1697",0
"1698",1
"1699",1
"1700",1
"1701",1
"1702",1
"1703",1
"1704",1
"1705",0
"1706",0
"1707",1
"1708",0
"1709",0
"1710",1
"1711",1
"1712",0
"1713",0
"1714",1
"1715",1
"1716",0
"1717",1
"1718",1
"1719",1
"1720",1
"1721",1
"1722",1
"1723",0
"1724",1
"1725",1
"1726",1
"1727",1
"1728",1
"1729",0
"1730",1
"1731",1
"1732",1
"1733",1
"1734",1
"1735",1
"1736",1
"1737",0
"1738",1
"1739",1
"1740",1
"1741",1
"1742",1
"1743",1
"1744",1
"1745",1
"1746",1
"1747",1
"1748",1
"1749",1
"1750",1
"1751",1
"1752",1
"1753",1
"1754",1
"1755",1
"1756",1
"1757",1
"1758",1
"1759",1
"1760",1
"1761",1
"1762",0
"1763",0
"1764",1
"1765",0
"1766",1
"1767",1
"1768",0
"1769",1
"1770",1
"1771",1
"1772",0
"1773",1
"1774",1
"1775",1
"1776",1
"1777",1
"1778",0
"1779",0
"1780",1
"1781",1
"1782",1
"1783",0
"1784",1
"1785",1
"1786",1
"1787",1
"1788",1
"1789",1
"1790",1
"1791",1
"1792",0
"1793",1
"1794",1
"1795",1
"1796",1
"1797",1
"1798",0
"1799",1
"1800",1
"1801",1
"1802",1
"1803",1
"1804",1
"1805",1
"1806",1
"1807",0
"1808",0
"1809",0
"1810",1
"1811",1
"1812",1
"1813",1
"1814",1
"1815",0
"1816",1
"1817",1
"1818",1
"1819",1
"1820",0
"1821",1
"1822",1
"1823",0
"1824",1
"1825",1
"1826",1
"1827",1
"1828",1
"1829",1
"1830",1
"1831",1
"1832",1
"1833",1
"1834",0
"1835",1
"1836",1
"1837",1
"1838",1
"1839",1
"1840",1
"1841",1
"1842",1
"1843",1
"1844",1
"1845",1
"1846",1
"1847",1
"1848",1
"1849",1
"1850",1
"1851",1
"1852",1
"1853",1
"1854",1
"1855",1
"1856",1
"1857",1
"1858",1
"1859",1
"1860",1
"1861",0
"1862",0
"1863",0
"1864",1
"1865",1
"1866",1
"1867",1
"1868",1
"1869",1
"1870",1
"1871",0
"1872",1
"1873",1
"1874",1
"1875",1
"1876",1
"1877",1
"1878",1
"1879",1
"1880",1
"1881",1
"1882",1
"1883",1
"1884",1
"1885",1
"1886",1
"1887",1
"1888",0
"1889",1
"1890",1
"1891",1
"1892",1
"1893",1
"1894",1
"1895",1
"1896",1
"1897",1
"1898",1
"1899",1
"1900",0
"1901",1
"1902",1
"1903",1
"1904",1
"1905",1
"1906",1
"1907",1
"1908",1
"1909",1
"1910",0
"1911",1
"1912",0
"1913",1
"1914",1
"1915",1
"1916",0
"1917",1
"1918",1
"1919",1
"1920",1
"1921",1
"1922",0
"1923",0
"1924",1
"1925",1
"1926",1
"1927",1
"1928",1
"1929",0
"1930",0
"1931",1
"1932",0
"1933",1
"1934",1
"1935",0
"1936",1
"1937",1
"1938",0
"1939",0
"1940",1
"1941",1
"1942",1
"1943",1
"1944",1
"1945",1
"1946",0
"1947",1
"1948",1
"1949",1
"1950",1
"1951",1
"1952",1
"1953",0
"1954",1
"1955",0
"1956",1
"1957",1
"1958",1
"1959",1
"1960",1
"1961",0
"1962",1
"1963",1
"1964",1
"1965",1
"1966",1
"1967",1
"1968",1
"1969",1
"1970",1
"1971",0
"1972",0
"1973",1
"1974",1
"1975",1
"1976",1
"1977",1
"1978",1
"1979",1
"1980",1
"1981",1
"1982",1
"1983",1
"1984",1
"1985",1
"1986",1
"1987",1
"1988",1
"1989",1
"1990",1
"1991",1
"1992",1
"1993",0
"1994",0
"1995",1
"1996",1
"1997",1
"1998",1
"1999",1
"2000",0
"2001",1
"2002",0
"2003",0
"2004",1
"2005",1
"2006",1
"2007",0
"2008",1
"2009",1
"2010",1
"2011",0
"2012",1
"2013",1
"2014",0
"2015",1
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",1
"2022",0
"2023",0
"2024",1
"2025",0
"2026",1
"2027",1
"2028",0
"2029",1
"2030",1
"2031",0
"2032",0
"2033",1
"2034",1
"2035",0
"2036",0
"2037",1
"2038",1
"2039",0
"2040",0
"2041",0
"2042",1
"2043",1
"2044",1
"2045",0
"2046",1
"2047",0
"2048",1
"2049",0
"2050",1
"2051",0
"2052",0
"2053",0
"2054",0
"2055",0
"2056",1
"2057",0
"2058",0
"2059",1
"2060",0
"2061",1
"2062",1
"2063",0
"2064",1
"2065",1
"2066",1
"2067",1
"2068",0
"2069",0
"2070",0
"2071",1
"2072",0
"2073",1
"2074",1
"2075",1
"2076",1
"2077",0
"2078",1
"2079",0
"2080",1
"2081",0
"2082",0
"2083",1
"2084",0
"2085",0
"2086",0
"2087",0
"2088",0
"2089",1
"2090",1
"2091",1
"2092",0
"2093",1
"2094",1
"2095",1
"2096",1
"2097",1
"2098",1
"2099",0
"2100",1
"2101",1
"2102",0
"2103",0
"2104",1
"2105",1
"2106",1
"2107",1
"2108",0
"2109",1
"2110",0
"2111",0
"2112",1
"2113",0
"2114",1
"2115",0
"2116",0
"2117",1
"2118",1
"2119",1
"2120",0
"2121",0
"2122",0
"2123",1
"2124",1
"2125",0
"2126",0
"2127",0
"2128",1
"2129",0
"2130",1
"2131",0
"2132",1
"2133",0
"2134",0
"2135",1
"2136",1
"2137",0
"2138",1
"2139",0
"2140",1
"2141",1
"2142",1
"2143",1
"2144",1
"2145",1
"2146",1
"2147",0
"2148",1
"2149",0
"2150",0
"2151",0
"2152",0
"2153",0
"2154",1
"2155",0
"2156",1
"2157",1
"2158",1
"2159",0
"2160",0
"2161",1
"2162",0
"2163",0
"2164",0
"2165",0
"2166",1
"2167",1
"2168",0
"2169",0
"2170",0
"2171",0
"2172",1
"2173",1
"2174",1
"2175",1
"2176",0
"2177",1
"2178",0
"2179",0
"2180",1
"2181",1
"2182",0
"2183",1
"2184",1
"2185",1
"2186",1
"2187",1
"2188",0
"2189",0
"2190",0
"2191",1
"2192",1
"2193",1
"2194",0
"2195",0
"2196",1
"2197",1
"2198",1
"2199",1
"2200",0
"2201",0
"2202",1
"2203",1
"2204",1
"2205",1
"2206",1
"2207",1
"2208",1
"2209",1
"2210",1
"2211",0
"2212",1
"2213",1
"2214",1
"2215",0
"2216",1
"2217",1
"2218",0
"2219",0
"2220",0
"2221",1
"2222",1
"2223",0
"2224",1
"2225",0
"2226",0
"2227",1
"2228",0
"2229",0
"2230",1
"2231",1
"2232",1
"2233",0
"2234",0
"2235",0
"2236",1
"2237",1
"2238",1
"2239",1
"2240",1
"2241",0
"2242",0
"2243",1
"2244",0
"2245",0
"2246",0
"2247",1
"2248",1
"2249",1
"2250",1
"2251",1
"2252",1
"2253",0
"2254",1
"2255",0
"2256",0
"2257",1
"2258",0
"2259",1
"2260",1
"2261",0
"2262",1
"2263",1
"2264",1
"2265",1
"2266",0
"2267",1
"2268",1
"2269",1
"2270",1
"2271",0
"2272",0
"2273",0
"2274",0
"2275",1
"2276",0
"2277",1
"2278",1
"2279",1
"2280",0
"2281",1
"2282",0
"2283",0
"2284",1
"2285",1
"2286",1
"2287",0
"2288",1
"2289",1
"2290",0
"2291",0
"2292",0
"2293",1
"2294",0
"2295",0
"2296",0
"2297",0
"2298",1
"2299",1
"2300",0
"2301",1
"2302",0
"2303",0
"2304",0
"2305",0
"2306",1
"2307",1
"2308",1
"2309",0
"2310",1
"2311",0
"2312",0
"2313",0
"2314",1
"2315",0
"2316",0
"2317",0
"2318",1
"2319",1
"2320",1
"2321",0
"2322",1
"2323",1
"2324",1
"2325",1
"2326",0
"2327",1
"2328",1
"2329",1
"2330",1
"2331",0
"2332",1
"2333",0
"2334",0
"2335",0
"2336",0
"2337",1
"2338",0
"2339",1
"2340",1
"2341",1
"2342",0
"2343",0
"2344",0
"2345",0
"2346",1
"2347",1
"2348",0
"2349",1
"2350",1
"2351",0
"2352",1
"2353",0
"2354",0
"2355",0
"2356",1
"2357",0
"2358",1
"2359",1
"2360",1
"2361",1
"2362",1
"2363",0
"2364",0
"2365",1
"2366",0
"2367",0
"2368",0
"2369",0
"2370",1
"2371",1
"2372",1
"2373",1
"2374",1
"2375",1
"2376",1
"2377",1
"2378",1
"2379",0
"2380",0
"2381",1
"2382",1
"2383",0
"2384",0
"2385",0
"2386",0
"2387",0
"2388",1
"2389",1
"2390",1
"2391",1
"2392",1
"2393",1
"2394",1
"2395",0
"2396",1
"2397",0
"2398",0
"2399",0
"2400",0
"2401",1
"2402",0
"2403",1
"2404",0
"2405",0
"2406",0
"2407",1
"2408",0
"2409",0
"2410",0
"2411",1
"2412",1
"2413",1
"2414",0
"2415",1
"2416",1
"2417",1
"2418",0
"2419",0
"2420",0
"2421",0
"2422",1
"2423",0
"2424",0
"2425",0
"2426",1
"2427",0
"2428",0
"2429",1
"2430",1
"2431",1
"2432",0
"2433",1
"2434",1
"2435",0
"2436",0
"2437",0
"2438",0
"2439",0
"2440",1
"2441",1
"2442",1
"2443",1
"2444",1
"2445",1
"2446",0
"2447",1
"2448",1
"2449",1
"2450",0
"2451",0
"2452",1
"2453",0
"2454",0
"2455",1
"2456",1
"2457",1
"2458",0
"2459",0
"2460",0
"2461",1
"2462",0
"2463",1
"2464",1
"2465",0
"2466",0
"2467",0
"2468",1
"2469",0
"2470",1
"2471",0
"2472",0
"2473",1
"2474",0
"2475",0
"2476",1
"2477",0
"2478",1
"2479",1
"2480",0
"2481",0
"2482",0
"2483",0
"2484",1
"2485",1
"2486",1
"2487",1
"2488",1
"2489",0
"2490",1
"2491",1
"2492",0
"2493",0
"2494",1
"2495",0
"2496",1
"2497",1
